描述,几室几厅,高低层,朝向,建筑年代,所属小区,所属片区,地址,最近地铁站,建筑面积,整套价格,平方价格
丽泽雅园 换房小三居 布局合理 看房随时,3室1厅,低层(共23层),东向,2004,丽泽雅园,丽泽桥,北京西站南路与丽泽路交汇处北行180米路东,无,122,767,62926
泛海香海园 后排南北四居+中间楼层+前后观花园+保养如新,4室2厅,高层(共21层),西南向,2009,泛海国际香海园,朝阳公园,朝阳公园东侧东四环姚家园路,无,248,2650,106799
3+1户型、明厨明卫落地窗、和储物间、价可议 随时看房,3室2厅,低层(共20层),南北向,2011,银河湾,酒仙桥,酒仙桥京密路万红西街西八间房1号,无,202,1730,85644
东贸汇福悦榕湾 毛坯两居 观整条潮白河 视野 急售,2室2厅,高层(共34层),南向,2016,汇福悦榕湾,燕郊,京东燕郊潮白河畔行宫西大街与燕顺路交汇口,无,86,175,20349
南海子公园旁合院别墅 原价2008万 现1661万 四重采光 速来,4室2厅,低层(共1层),南向,2000,棠颂别墅,亦庄,亦庄南海子公园北侧500米,无,270,1612,59704
温馨家园(广电新302)两居室有客厅.中间层看房方便,2室1厅,高层(共7层),东西向,2000,新302温馨家园,西便门,新302温馨家园西便门外大街4号院,距1号线南礼士路站约421米,79,1100,139594
安慧里二区 朝南一居室 诚售 高层无遮挡,1室1厅,高层(共25层),南向,1992,安慧里二区,亚运村,安慧桥向北500米路东,距5号线惠新西街北口站约995米,43,345,79972
江山赋二室一厅一卫,2室1厅,低层(共12层),南北向,2009,江山赋,后沙峪,后沙峪镇后沙峪裕华路东侧,无,96,590,61645
万科四季花城二室一厅一卫,2室1厅,中层(共6层),南北向,2011,万科四季花城,顺义城,顺西路益麒麟建材商场对面,距15号线石门站约399米,95,485,51080
芍药居北里二区二室一厅一卫,2室1厅,高层(共24层),西南向,2000,芍药居北里,芍药居,芍药居北里文学馆路 中煤信息大厦西北侧 北京,距10号线芍药居站约1058米,73,625,85663
南岗子2居 南北通透带客厅 户型棒 装修好 看房随时,2室1厅,高层(共6层),南北向,1981,南岗子小区,广渠门内,幸福大街西侧南岗子街,距5号线天坛东门站约947米,57,478,84467
龙潭湖畔潘家园华威西里协和医院宿舍楼 低总价 低单价 南北通透,1室1厅,高层(共6层),南北向,1985,华威西里,潘家园,东三环潘家园东路与华威路交界西南,距10号线十里河站约1004米,40,260,64644
今典花园三室一厅一卫,3室1厅,高层(共26层),东北向,2001,今典花园,小西天,文慧园北路9号,无,91,880,96407
西城 大观园旁边中华家园 南北大四居 满五 带车位,4室2厅,高层(共12层),南北向,2003,中华家园,白纸坊,南菜园街53号,无,245,1600,65306
亚运村 邻15号线观鸟巢奥森 慧忠北里全南向两居高层视野好带阳台,2室2厅,高层(共24层),南向,1999,慧忠北里,亚运村,朝阳亚运村安立路与科荟路交叉口西南角,距15号线安立路站约692米,76,530,69746
海淀区西四环满五 南向2居 不临街 次顶层 小区6层板楼带电,2室1厅,中层(共6层),南北向,2008,西山洋房,田村,田村路南阜石路69号,无,89,575,64607
兰德华庭 小区 南北通透 三居室 精装徐 户型方正 业主诚售,3室2厅,高层(共11层),南北向,2006,兰德华庭,田村,阜石路35号,无,148,980,66216
保利西山林语南北两居 园区 看房有钥匙 即约即看,2室1厅,低层(共9层),南北向,2010,保利西山林语,西北旺,西北旺镇冷泉村,无,88,580,65909
阳光100 低于市场价200万 东南向大三居,3室2厅,中层(共38层),南向,2002,阳光100国际公寓,国贸,光华路与郎家园路交叉点东南角,距14号线红庙站约483米,173,1050,60694
双井 富力城经典小两居 二次装修 两梯两户 带储藏间,2室2厅,低层(共21层),北向,2003,富力城B区,双井,双井桥西北侧(国贸桥向南约700米),距10号线双井站约606米,85,850,100000
精装修 南北通透 带电梯的两居室,2室1厅,低层(共12层),南北向,2014,兴盛街187号院,黄村北,康庄路兴盛街187号院,无,88,330,37402
免征个 精装修一居室 不临街 采光好 视野佳 刚需必选,1室1厅,高层(共6层),南向,2004,名佳花园四区,北七家,七星路与七北路交叉点向西500米路南,无,57,280,49123
北苑 佳兴园 西向一居 小户型 人车分流小区,1室1厅,低层(共18层),西向,2004,佳兴园,北苑,安外北苑5号院,距5号线北苑路北站约843米,42,251,59833
望京大西洋新城+一层带花园的大四居+一梯两户+安静不临街+采光好,4室3厅,低层(共9层),南北向,2000,大西洋新城A区,望京,望京广顺北大街33号,距14号线阜通站约584米,189,1600,84589
户型方正 位置好 观景效果好 出行方便 奥森 观景奥森,2室1厅,高层(共27层),西向,2015,林奥嘉园,北苑,清林东路与清林路交叉口北行100米(森林公园,距5号线立水桥南站约1177米,119,785,65983
乐城一室一厅一卫,1室1厅,高层(共24层),东南向,2004,乐城,广安门,红莲南路6号院,无,45,390,85771
金融街 西单 园中园行长楼 270度采光,4室2厅,中层(共7层),南北向,2002,丰汇园,金融街,太平桥大街84号(政协礼堂斜对面),距4号线灵境胡同站约831米,215,3800,176744
南花园1200平 新做装修 保养好,5室2厅,低层(共3层),南向,2008,东方普罗旺斯,北七家,北七家出口1000米定泗路88号,无,565,3300,58407
今日家园二室一厅一卫,2室1厅,低层(共17层),西向,2000,今日家园,五棵松,西翠路5号院,距1号线五棵松站约1102米,101,610,60486
新上 西直门南大街 二环内 志成 精装修三居室 业主诚售,3室1厅,中层(共16层),西北向,1988,西直门南大街小区,西直门,西直门南大街18号,距2号线车公庄站约211米,82,900,109489
兴化西里二室一厅一卫,2室1厅,中层(共5层),南向,1985,兴化西里,和平里,北京市东城区和平里兴化西里加油站东口东侧,距5号线和平里北街站约902米,62,585,94584
太阳宫水星园板楼两居室正对花园满五年,2室2厅,中层(共23层),无,2006,水星园,太阳宫,太阳宫夏家坟村,距10号线太阳宫站约680米,112,1015,90625
我的老业主 精装南北大两居 普通住宅年租金30多万 好,2室1厅,低层(共25层),东向,1999,北京科技会展中心公寓,中关村,北三环西路48号,距4号线人民大学站约385米,139,830,59712
金台北街呼家楼带电梯二室一厅一卫,2室1厅,低层(共16层),南北向,1987,金台北街,红庙,金台路地铁站西南角,距6号线金台路站约558米,75,465,61975
团结大院一室一厅一卫,1室1厅,高层(共6层),南向,1987,团结大院,西直门,西直门外南路北侧,距2号线西直门站约585米,41,438,106829
广渠门内+北京上舍+08年商品房+培新街+满五年包税+正对花园,1室1厅,中层(共15层),西南向,2008,北京上舍,广渠门内,广渠门内大街南培新街汇文中学体育馆东侧,距7号线广渠门内站约265米,57,515,90130
惠新南里 双卧朝南 全明户型 司法部央产,2室1厅,高层(共6层),南北向,1990,惠新南里,惠新西街,北土城东路与惠新东街路口向西300米,距5号线惠新西街南口站约302米,65,465,71286
侨办大院 南北通透大两居 小区环境优美 管理好 看房方便 有钥匙,2室2厅,中层(共9层),南北向,1999,百万庄大街10号院,阜成门,百万庄大街10号院,距6号线车公庄西站约559米,105,1250,119389
置换选择 国际村 南北通透三居室 满五年 保养好 ,3室2厅,高层(共32层),南向,2008,UHN国际村,太阳宫,西坝河东里2号院,距10号线太阳宫站约574米,140,1150,82202
福成五期+两居+全明户型+好楼层+好位置+随时看房,2室1厅,中层(共28层),东南向,2007,福成五期,燕郊,海油大街与燕高路交汇处南行300米路东,无,92,170,18478
兴隆家园 全南两居 高层无遮挡 采光视野好,2室1厅,中层(共24层),南向,2002,兴隆家园,高碑店,建国路29号,距八通线高碑店站约837米,77,510,65874
华严北里小区 中石油单位 有电梯小三居 业主,3室1厅,低层(共18层),东南向,1993,华严北里,健翔桥,民族园西路与昌平路交叉口东行200米路北,距10号线健德门站约787米,65,490,75338
南北通透3居 带客厅 中高层采光好 临光熙门站,3室1厅,中层(共20层),南北向,1992,西坝河北里,西坝河,北三环三元西桥与太阳宫桥间(太阳宫桥东北方向,距13号线光熙门站约661米,81,586.8,72319
中楼层南北通透两居 户型方正 新上房源看房方便!,2室1厅,中层(共6层),南北向,2000,花园路丙28号院,牡丹园,地铁牡丹园站北侧,距10号线牡丹园站约409米,55,520,95413
裕龙花园一区四室二厅二卫,4室2厅,中层(共5层),南北向,2006,裕龙花园一区,顺义城,人民公园东侧200米,无,149,595,39826
二环+怡龙别墅+不临街+对花园+西南北三面采光+户型方正+看房方便,4室2厅,高层(共1层),西南向,2001,龙潭北里小区,光明楼,光明桥西 龙潭路龙潭公园北侧,无,200,1680,84000
大厂潮白河孔雀城雅瑞园火爆顺销中三年内免费更名,2室2厅,中层(共18层),南北向,2013,潮白河孔雀城温莎郡,大厂,廊坊国贸正东、潮白河友谊大桥东侧100米,无,89,140,15730
金融街金宸 南北通透三居 小区中间位置,3室2厅,高层(共13层),南北向,2003,金宸公寓,金融街,广成街4号院,距1号线复兴门站约783米,205,2450,119512
西山枫林3室590万元!房源 值得一看,3室1厅,中层(共6层),南向,2006,西山枫林,八大处,香山南路168号(一期、二期) 香山南路16,无,113,590,52212
国兴城 14年的新社区 南北通透两居室出售 享受不一样的品质生活,2室1厅,低层(共13层),南北向,2014,国兴城,后沙峪,后沙峪城铁15号线500米,距15号线后沙峪站约1040米,84,425,50734
芳城园一区二室一厅一卫,2室1厅,高层(共22层),东南向,1996,芳城园一区,方庄,左安门西滨河路与方庄路交汇处西行200米路南,距14号线方庄路站约547米,64,410,63665
金融街 经典户型大两居室 业主诚心出售,2室2厅,低层(共11层),东南向,2008,西城晶华,金融街,金融街太平桥大街8号(城铁阜成门站东南600,距4号线西四站约902米,117,1650,141026
金色21 满五二手房,2室1厅,高层(共11层),南北向,2008,柏林爱乐,管庄,北京市朝阳区朝阳北路22号院,距6号线常营站约982米,67,385,57351
草桥 马家堡 低总价 装修好 大三居,3室2厅,中层(共24层),东南向,2004,玺萌丽苑,马家堡,北甲地路6号院,距4号线马家堡站约877米,161,919,56985
金融街 南北三居室 前后不临街 业主诚售,3室2厅,低层(共8层),南北向,2005,丰融园,金融街,太平桥大街45号,距4号线灵境胡同站约780米,167,3000,179641
万方景轩 经典一居 空间布局有致 和谐有序 随时看房,1室2厅,高层(共22层),东北向,2005,万方景轩,太阳宫,太阳宫E区夏家园甲6号,距10号线太阳宫站约149米,68,550,81337
久润小平米房 中间楼层 精装修 业主急售 随时看房 ,1室1厅,中层(共6层),南向,2008,久润西区,沙河水库,城关车站路2号(新北路以北、檀西路以西),无,67,160,23881
望京 四环边 花家地南里板楼一居 南北通透,1室1厅,高层(共6层),南向,1992,花家地南里,望京,阜通东大街与花家地南街交叉口东南行100米,无,44,295,67506
文慧园二室一厅一卫,2室1厅,高层(共20层),西向,2003,文慧园56号公寓,小西天,文慧园路56号,无,100,970,96546
西直门内大街 志成一居室 西直门宾馆 精装朝南 采光好 带电梯,1室1厅,低层(共16层),南向,1983,西直门内大街,西直门,地铁西直门站东侧西直门内大街,距4号线新街口站约77米,48,560,115702
亚运村 安慧里花园式社区 满五一套 把边 东西通透 看房方便,2室1厅,低层(共6层),东西向,1991,安慧里一区,亚运村,慧忠路与北苑路交汇处西行250米,距5号线惠新西街北口站约556米,55,420,76796
行宫园二里二室一厅一卫出售 看房方便 成熟社区,2室1厅,中层(共6层),南北向,1993,行宫小区,行宫,拱辰北大街与政通路交叉口向东 房山区政府东侧,无,85,255,30178
楼层好 视野广 水郡长安别墅圆您置业梦想!,5室3厅,低层(共1层),南向,2006,水郡长安别墅,双桥,双桥通惠河西400米,距八通线双桥站约1087米,307,1800,58632
康泽园小区二室一厅一卫,2室1厅,中层(共19层),东向,2003,康泽园,大红门,大红门路与南顶路交汇处东行200米路南,距10号线石榴庄站约669米,105,490,46512
西大望路 板楼社区 南北通透三居 环境好采光好视野好 换房出售,3室2厅,高层(共20层),南北向,2009,禧福汇,劲松,南磨房路16号院,距14号线北京工业大学站约847米,140,1200,85923
碧水庄园财富公馆 13室5厅 4000万,13室5厅,低层(共2层),南向,2004,碧水庄园,沙河,沙河镇豆各庄村(京藏高速20号出口向前行驶5,无,1425,3800,26669
保利西山林语南北两居 次顶层 直通车库 地暖实木装修 看房有钥匙,2室1厅,高层(共9层),南北向,2011,保利西山林语,西北旺,西北旺镇冷泉村,无,90,575,63620
晓月新苑一室一厅一卫,1室1厅,高层(共24层),东向,2005,晓月苑,卢沟桥,晓月苑晓月苑垂虹街7号 晓月中路5号院(晓月,无,69,300,43751
泛海香海园 后排南北四居+中间楼层+前后观花园+保养如新,4室2厅,高层(共21层),西南向,2009,泛海国际香海园,朝阳公园,朝阳公园东侧东四环姚家园路,无,248,2650,106799
大悦城 青年汇二期南北三居 客餐厅通透 次顶层 业主,3室2厅,高层(共20层),南北向,2008,青年汇,朝青,青年汇青年路甘露园中里2号;青年路与朝阳北路,距6号线青年路站约299米,121,900,74380
看看位置 看看总价 看看单价 看看我电话,2室1厅,高层(共16层),东北向,1980,劲松三区,劲松,劲松路与东三环交口西北角,距10号线劲松站约395米,63,360,56764
西城区广安门外乐城小区东南向一居室,1室1厅,低层(共24层),东南向,2004,乐城,广安门,红莲南路6号院,无,45,410,90169
国际友谊花园二室一厅二卫,2室1厅,中层(共24层),西南向,1997,国际友谊花园,三元桥,左家庄路甲2号,距10号线三元桥站约1097米,146,950,65194
华兴园二室二厅二卫,2室2厅,中层(共6层),南北向,1999,华兴园,通州北苑,八里桥南街与杨庄路交口西南,距八通线通州北苑站约618米,95,450,47224
华严北里 西南向两居带客厅 房本满五家庭名下仅有一套 方便看,2室1厅,中层(共18层),西南向,1993,华严北里,健翔桥,民族园西路与昌平路交叉口东行200米路北,距10号线健德门站约787米,67,500,75086
久敬佳园三室二厅二卫,3室2厅,高层(共6层),南北向,2005,阳光左右间,大红门,丰台大红门桥南500米 南中轴路东,无,110,520,47260
马甸经典家园 东南一居室 精准修 家具家电赠送,1室1厅,中层(共24层),东南向,2001,马甸经典家园,马甸,祁家豁子甲8号,距10号线健德门站约345米,55,418,76000
南线阁 建功北里一区 华北电力央产 三居室中楼层 钥匙随时看,3室1厅,中层(共16层),西北向,2003,建功北里一区,白纸坊,白纸坊西街、白纸坊桥东南角,距7号线广安门内站约1152米,103,950,92233
万科翡翠住宅 高品质精装四居 双 长安街 临河观景,4室2厅,中层(共20层),南北向,2017,翡翠长安,大峪,美安路与龙兴南二路交叉点向北500米路西,无,151,700,46358
龙湖花墅香醍三室二厅二卫,3室2厅,高层(共8层),南北向,2005,龙湖花盛香醍,果园,龙湖花盛香醍京沈高速通马路出口右转第三个红绿,无,156,868,55791
金泉家园 西南精装修两居室 看房方便给周期 价可谈,2室1厅,低层(共30层),西南向,2008,金泉家园,亚运村,北苑路与大屯北路交叉点向西300米路南,距15号线安立路站约524米,94,790,84267
免征个 精装修一居室 不临街 采光好 视野佳 刚需必选,1室1厅,高层(共6层),南向,2004,名佳花园四区,北七家,七星路与七北路交叉点向西500米路南,无,57,280,49123
露台两居 双卧朝南 全明格局 带电梯 赠送60平大露台,2室1厅,低层(共10层),南北向,2003,金地格林小镇,亦庄,亦庄天宝中街2号(科慧大道南侧),无,109,798,73124
乐城一室一厅一卫,1室1厅,高层(共24层),东南向,2004,乐城,广安门,红莲南路6号院,无,45,390,85771
南三环刘家窑 南北两居室 电梯楼 采光好诚售,2室1厅,中层(共16层),南北向,1991,蒲黄榆路,蒲黄榆,蒲黄榆路刘家窑桥蒲黄榆路11号,距5号线刘家窑站约268米,50,295,59356
国贸大望路盛世嘉园 158平 1080万 三阳开泰户型 高层 可谈,3室2厅,高层(共20层),西南向,2000,盛世嘉园,国贸,北京市朝阳区建国路98号盛世嘉园,距1号线大望路站约629米,158,1080,68354
东坝华瀚福园两居室 66平 业主诚售185万,2室2厅,中层(共22层),南北向,2017,华瀚福园,东坝,东坝乡东苇路89号,无,66,185,28030
西城牛街 业主 南北通透两居室 看房方便 楼层适中,2室1厅,中层(共6层),南北向,2000,门楼巷,牛街,门楼巷胡同,距4号线菜市口站约612米,58,510,87329
橡树湾三期 精装一居室 中高楼层 满五且一,1室1厅,中层(共28层),西向,2013,橡树湾,清河,清河中街与学附树中街交汇处西行140米路北,无,72,635,88194
誉天下边户联排大花园+纯新房+总价低+随时看++临会所,4室3厅,低层(共1层),南向,2012,誉天下,中央别墅区,中央别墅区温榆河畔 机场杨林出口1000米,无,274,1300,47445
华业东方玫瑰二室一厅一卫,2室1厅,低层(共27层),西南向,2014,华业东方玫瑰,梨园,梨园镇 距临河里地铁站仅400米,距八通线临河里站约817米,90,465,51724
燕郊精装修一居 低总价,1室1厅,低层(共26层),东北向,2017,金谷isoho,燕郊,高新经济开发区南环路中段小柳店村北侧,无,50,55,11000
圆明园南门成府北河沿小区 中关村贰小温馨两居用钱着急卖!,2室1厅,中层(共6层),南北向,2000,成府北河沿,圆明园,北京市海淀区北京大学北,距4号线圆明园站约297米,53,575,108491
我的老业主 房子已全权委托我出售 看房签约随时 有问题随时联系,3室1厅,高层(共12层),东向,1990,双榆树东里,双榆树,联想桥科学院南路与学院南路口东南角,距4号线人民大学站约888米,82,720,88311
万科四季花城二室一厅一卫,2室1厅,中层(共6层),南北向,2011,万科四季花城,顺义城,顺西路益麒麟建材商场对面,距15号线石门站约399米,95,485,51080
朝青甘露园 甘露园南里二区 南北通透两居,2室1厅,低层(共6层),南北向,1995,甘露园南里二区,甘露园,朝阳路与青年路交汇处西南角,距1号线四惠东站约789米,63,330,52373
公园边 中楼层 南北通透两居 新上房源公摊小!,2室1厅,中层(共6层),南北向,1990,黄亭子小区,北太平庄,北三环黄亭子 学知桥东侧 黄亭子路西侧,距10号线西土城站约412米,57,500,87108
西城区 7号线广安门内 牛街 似海怡家大两居 价钱能大刀!!,2室1厅,高层(共25层),西向,2000,似海怡家,牛街,广安门内大街202号,距7号线广安门内站约565米,93,810,86659
首邑溪谷三室一厅二卫,3室1厅,中层(共16层),南北向,2012,首邑溪谷,黄村北,黄村新城北区22号地(黄村新城北区金星西路与,无,58,493,84781
孔雀城枫丹白露 悦澜湾 空港壹号超低的价格的优惠安家七环内,3室2厅,高层(共28层),南北向,无,永定河孔雀城剑桥郡,固安,大广高速(固安出口)西侧,无,97,137,14124
北京人家 电梯房 东南西向两居室 一套,2室1厅,中层(共11层),南北向,2005,北京人家,龙泽,地铁13号线龙泽站西北方向1.2公里 回龙观,无,92,460,49740
远见名苑一室0厅 一卫,1室0厅,中层(共26层),西向,2005,远见名苑,广安门,红居北街与莲花河东侧路交叉点东北角,距7号线达官营站约358米,58,510,88312
华馨 南北通透大三居 三阳台 1350万价格可聊 看房随时,3室2厅,中层(共13层),南北向,2000,华馨公寓,亚运村,安立路慧忠北里410号(北辰东路与大屯路交叉,距15号线安立路站约752米,184,1350,73302
北京华侨城四期 180万四居室 120万实木家具,4室2厅,中层(共34层),南北向,2012,北京华侨城,欢乐谷,东四环四方桥京沈辅路南侧小武基北路,距7号线欢乐谷景区站约481米,214,1550,72288
南海子公园旁合院别墅 原价2008万 现1661万 四重采光 速来,4室2厅,低层(共1层),南向,2000,棠颂别墅,亦庄,亦庄南海子公园北侧500米,无,270,1612,59704
金隅景和园二室二厅一卫,2室2厅,低层(共21层),南向,2011,朝阳新城,东坝,东坝高杨树 朝新家园东里,无,85,450,53236
金色服务21:万象新天南北通透 近 看房方便 有钥匙,3室2厅,低层(共11层),南北向,2000,万象新天,常营,朝阳区朝阳北路东苇路交汇处,距6号线常营站约743米,128,690,53856
丽泽雅园 换房小三居 布局合理 看房随时,3室1厅,低层(共23层),东向,2004,丽泽雅园,丽泽桥,北京西站南路与丽泽路交汇处北行180米路东,无,122,767,62926
绿港家园一区四室二厅二卫,4室2厅,高层(共19层),南北向,2002,金汉绿港,顺义城,金汉绿港顺沙路和右堤路交汇处南侧,距15号线顺义站约888米,149,610,40984
站前巴黎二室一厅二卫,2室1厅,低层(共6层),南北向,2006,站前巴黎,梨园,八通线梨园站南600米,距八通线梨园站约779米,100,418,41758
太阳宫 半岛国际东向两居 视野开阔 没有遮挡 房子满五年没有税,2室2厅,低层(共18层),东北向,2005,半岛国际公寓,太阳宫,太阳宫夏家园11号、12号,距10号线太阳宫站约422米,86,760,88547
五一招生范围 永定路西里 门槛低 环境好,1室1厅,低层(共6层),东西向,1995,永定路西里,永定路,永定路 五棵松地铁西800米,距1号线玉泉路站约1185米,41,468,115186
八角北里二室一厅一卫,2室1厅,高层(共6层),南北向,1985,八角北里,八角,八角西街北口八角游乐园西侧,无,57,310,53951
林奥嘉园 成熟小区 业主诚售 看房方便 周边奥森,2室1厅,低层(共24层),东西向,2014,林奥嘉园,北苑,清林东路与清林路交叉口北行100米(森林公园,距5号线立水桥南站约1177米,118,750,63559
上地西二旗 软件园 融泽嘉园 14年新小区南向一居 价位可谈,1室1厅,低层(共34层),南向,2014,融泽嘉园,龙泽,西二旗北侧龙域中路金域华府北面,无,62,330,52808
全封闭高绿化小区 南北通透两居室 双卧朝南 无遮挡 满五首套房,2室2厅,低层(共12层),南北向,2005,新怡家园,崇文门,新世界商场向西30米路南(崇外大街1号地),距2号线崇文门站约452米,145,1930,133186
金色21 满五二手房,2室1厅,高层(共11层),南北向,2008,柏林爱乐,管庄,北京市朝阳区朝阳北路22号院,距6号线常营站约982米,67,385,57351
北四环边上08年社区 南北通透大两居+全明格局+正对社区花园,2室2厅,中层(共24层),东南向,2008,主场,亚运村小营,亚运村大屯路220号(阳光广场东500米),距5号线大屯路东站约466米,100,800,80000
团结大院一室一厅一卫,1室1厅,高层(共6层),南向,1987,团结大院,西直门,西直门外南路北侧,距2号线西直门站约585米,41,438,106829
行宫园二里二室一厅一卫出售 看房方便 成熟社区,2室1厅,中层(共6层),南北向,1993,行宫小区,行宫,拱辰北大街与政通路交叉口向东 房山区政府东侧,无,85,255,30178
南花园1200平 新做装修 保养好,5室2厅,低层(共3层),南向,2008,东方普罗旺斯,北七家,北七家出口1000米定泗路88号,无,565,3300,58407
溪城家园2号院 全南向两居室 价格优于小区同户型 冬天不用开,2室2厅,中层(共15层),南向,2000,溪城家园,立水桥,陈家营西路1号院,无,80,350,43860
福成五期+两居+全明户型+好楼层+好位置+随时看房,2室1厅,中层(共28层),东南向,2007,福成五期,燕郊,海油大街与燕高路交汇处南行300米路东,无,92,170,18478
望京 四环边 花家地南里板楼一居 南北通透,1室1厅,高层(共6层),南向,1992,花家地南里,望京,阜通东大街与花家地南街交叉口东南行100米,无,44,295,67506
精装修 拎包住 看房随时,1室1厅,低层(共23层),南向,2011,朝阳新城,东坝,东坝高杨树 朝新家园东里,无,61,290,47417
学院路30号院三室一厅一卫,3室1厅,中层(共22层),东南向,2003,北京科技大学家属楼,学院路,海淀区学院路30号院,无,100,1100,109551
中楼层南北通透两居 户型方正 新上房源看房方便!,2室1厅,中层(共6层),南北向,2000,花园路丙28号院,牡丹园,地铁牡丹园站北侧,距10号线牡丹园站约409米,55,520,95413
金台北街呼家楼带电梯二室一厅一卫,2室1厅,低层(共16层),南北向,1987,金台北街,红庙,金台路地铁站西南角,距6号线金台路站约558米,75,465,61975
远见名苑二室一厅二卫,2室1厅,低层(共26层),西南向,2005,远见名苑,广安门,红居北街与莲花河东侧路交叉点东北角,距7号线达官营站约358米,94,840,89590
碧水庄园财富公馆 13室5厅 4000万,13室5厅,低层(共2层),南向,2004,碧水庄园,沙河,沙河镇豆各庄村(京藏高速20号出口向前行驶5,无,1425,3800,26669
侨办大院 南北通透大两居 小区环境优美 管理好 看房方便 有钥匙,2室2厅,中层(共9层),南北向,1999,百万庄大街10号院,阜成门,百万庄大街10号院,距6号线车公庄西站约559米,105,1250,119389
精装南北四居室 中间楼层 前后不临街,4室2厅,高层(共8层),南北向,2005,中海凯旋,金融街,二龙路西街 太平桥98号,距1号线复兴门站约975米,222,3950,177928
西直门内大街 志成一居室 西直门宾馆 精装朝南 采光好 带电梯,1室1厅,低层(共16层),南向,1983,西直门内大街,西直门,地铁西直门站东侧西直门内大街,距4号线新街口站约77米,48,560,115702
金融街 南北三居室 前后不临街 业主诚售,3室2厅,低层(共8层),南北向,2005,丰融园,金融街,太平桥大街45号,距4号线灵境胡同站约780米,167,3000,179641
我的老业主 精装南北大两居 普通住宅年租金30多万 好,2室1厅,低层(共25层),东向,1999,北京科技会展中心公寓,中关村,北三环西路48号,距4号线人民大学站约385米,139,830,59712
国英园 东南向大一居 志成 中间楼层 满五年公房 业主诚售,1室1厅,中层(共6层),东南向,1997,国英园,官园,西直门南小街 车公庄地铁站东北角,距2号线车公庄站约362米,54,575,107076
今日家园二室一厅一卫,2室1厅,低层(共17层),西向,2000,今日家园,五棵松,西翠路5号院,距1号线五棵松站约1102米,101,610,60486
久润小平米房 中间楼层 精装修 业主急售 随时看房 ,1室1厅,中层(共6层),南向,2008,久润西区,沙河水库,城关车站路2号(新北路以北、檀西路以西),无,67,160,23881
北京科技会展2号楼 四室一厅两卫 无遮挡采光好 有钥匙,4室1厅,高层(共25层),东南向,2003,北京科技会展中心公寓,中关村,北三环西路48号,距4号线人民大学站约385米,247,1236,49980
金融街 西单 园中园行长楼 270度采光,4室2厅,中层(共7层),南北向,2002,丰汇园,金融街,太平桥大街84号(政协礼堂斜对面),距4号线灵境胡同站约831米,215,3800,176744
金色服务21:万象新天南北通透 近 看房方便 有钥匙,3室2厅,低层(共11层),南北向,2000,万象新天,常营,朝阳区朝阳北路东苇路交汇处,距6号线常营站约743米,128,690,53856
两居,2室1厅,中层(共20层),东向,无,K2清水湾,潞苑南大街,通燕高速北侧耿庄桥出口北500米潞苑南大街,无,80,523,65034
把边户 三面光线!中西结合装修风格!观景别墅!实用面积280平,4室2厅,低层(共4层),南向,2003,香山艺墅,西山,香山南路88号,无,191,1750,91623
朝庭二室二厅一卫,2室2厅,高层(共27层),东西向,2008,朝庭公寓,望京,阜荣街8号院,距14号线望京南站约688米,114,875,76930
金都苑二室一厅一卫,2室1厅,中层(共29层),南北向,2006,金都苑,丽泽桥,丰台区丽泽路三路居18,无,90,500,55556
北苑 佳兴园 西向一居 小户型 人车分流小区,1室1厅,低层(共18层),西向,2004,佳兴园,北苑,安外北苑5号院,距5号线北苑路北站约843米,42,251,59833
经典全南向板楼 眼镜房 经典两居室给北漂的您一个家,2室1厅,中层(共5层),南北向,1985,魏公村南区,魏公村,北京市海淀区中关村南大街西侧魏公村小区,距4号线魏公村站约493米,50,500,100000
富力城区 东南北观景4居室 看房方便,4室2厅,高层(共17层),南北向,2007,富力城D区,双井,北京市朝阳区东三环中路35号,距7号线广渠门外站约518米,275,3080,112000
大悦城 青年汇二期南北三居 客餐厅通透 次顶层 业主,3室2厅,高层(共20层),南北向,2008,青年汇,朝青,青年汇青年路甘露园中里2号;青年路与朝阳北路,距6号线青年路站约299米,121,900,74380
采光层 满五年 大三居 低于500万 速来看房 业主急售,3室2厅,高层(共6层),南北向,2003,龙跃苑二区,回龙观,回龙观东大街与文华东路交汇处西南角(回龙观镇,无,132,499,37860
保利西山林语南北两居 园区 看房有钥匙 即约即看,2室1厅,低层(共9层),南北向,2010,保利西山林语,西北旺,西北旺镇冷泉村,无,88,580,65909
南北可观湖+园区+南侧是鲁艺文化公园+交通便利,3室2厅,中层(共11层),南北向,2005,鲁艺上河村,世纪城,远大路与远大东路交汇东南角,距10号线长春桥站约471米,191,2400,125425
号外!七星园3号楼一居室 单价4.9万 单价4.9万!!,1室1厅,低层(共19层),南向,1996,七星园,鲁谷,鲁谷南路与翠园西街路口以南约50米,距1号线八角游乐园站约904米,64,315,49327
海淀区西四环满五 南向2居 不临街 次顶层 小区6层板楼带电,2室1厅,中层(共6层),南北向,2008,西山洋房,田村,田村路南阜石路69号,无,89,575,64607
南三环刘家窑 南北两居室 电梯楼 采光好诚售,2室1厅,中层(共16层),南北向,1991,蒲黄榆路,蒲黄榆,蒲黄榆路刘家窑桥蒲黄榆路11号,距5号线刘家窑站约268米,50,295,59356
玉泉营 首经贸 新上两居 万年花城三期二室二厅一卫,2室2厅,中层(共16层),南北向,2006,万年花城三期,玉泉营,夏家胡同芳菲路88号院,距10号线首经贸站约667米,97,635,65721
